proto,conn_state,history,label,id.orig_p,id.resp_p,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,orig_ip_1,orig_ip_2,orig_ip_3,orig_ip_4,resp_ip_1,resp_ip_2,resp_ip_3,resp_ip_4
tcp,S0,S,Malicious,49287.062,5402.706,0.024339808,0.9604367,62.201397,0.01886097,1.8594031,191.966,167.96156,100.08729,102.95924,145.64491,53.92089,58.443966,66.303055
udp,S0,D,Benign,43875.51,21594.15,-0.019367535,0.8949302,41.612785,0.1259633,-6.5370417,192.0095,168.07487,99.855865,102.96983,75.77268,132.90547,77.196724,75.47574
tcp,S0,S,Malicious,50994.133,9721.406,0.065167636,1.0218511,64.61667,0.21734779,3.3136678,191.97139,168.02397,99.90408,103.07714,166.38226,162.1784,97.014915,191.57133
tcp,S0,S,Malicious,44788.562,-695.5957,-0.031049747,1.0418175,58.890778,0.23773873,-2.596861,192.0694,167.80115,99.937744,102.98182,167.79388,184.45233,160.25595,149.89502
udp,S0,D,Benign,44014.8,17015.154,-0.035441805,0.996592,38.204002,-0.08413972,2.7658563,192.11206,167.94608,99.995735,102.94664,154.50282,120.480255,148.42744,52.470627
tcp,S0,S,Malicious,49760.188,273.8242,-0.008617584,0.94098604,62.45875,0.08679511,-8.696544,192.04948,167.95268,100.01934,103.151726,160.64851,123.54525,62.52084,194.73978
udp,S0,D,Benign,43526.426,30842.443,0.12428898,0.9477367,41.045467,-0.1847137,2.2080617,192.03667,167.92833,99.91382,102.88657,122.24561,161.15834,61.778187,133.74858
tcp,S0,S,Malicious,41169.586,3496.3945,0.04930282,1.0509087,63.16615,0.108932234,-3.680519,191.99753,167.94421,100.08398,102.92584,86.966484,150.39919,61.98154,171.68483
tcp,S0,S,Malicious,50924.3,-269.78323,-0.003122693,2.8632298,176.10585,-0.11244775,-17.175999,191.98756,167.9956,100.07576,102.996956,97.75906,125.50669,124.01143,62.03292
udp,S0,D,Benign,43648.54,23890.451,0.084492,0.8897894,37.937897,-0.055169668,-1.7301483,191.9818,167.98633,100.08164,103.08816,96.3218,114.325,123.07887,71.52124
tcp,S0,S,Malicious,52941.688,1787.2529,-0.023802724,1.0563276,57.97106,0.08548479,-4.377631,191.98775,167.98167,99.96154,102.94471,96.35691,75.816734,113.01505,198.51077
udp,S0,D,Benign,43271.99,35886.453,0.10521,0.8723526,44.11658,0.026107337,-3.2755632,192.00305,168.01102,100.068504,102.88369,142.98471,83.37453,148.452,71.79104
udp,S0,D,Benign,43985.543,22515.188,-0.0461931,1.0373707,41.557354,-0.020212378,4.455238,192.00835,168.06963,100.05647,102.93591,114.31625,91.83435,176.26419,78.35242
tcp,S0,S,Malicious,38119.35,5949.077,-0.0067997645,0.94788384,55.334488,0.06370763,-0.80262464,192.01056,168.13806,99.92193,102.9833,130.51938,54.797615,134.44923,76.89992
udp,S0,D,Benign,43722.125,20371.457,-0.029379115,1.0253514,36.619568,-0.0999288,-3.2478218,191.96748,167.946,100.00598,102.94394,69.930756,202.11789,119.53521,150.95074
tcp,S0,S,Malicious,41883.49,-625.9336,-0.02884015,0.9710499,56.230053,0.14949144,-16.49137,192.07686,167.9257,99.93211,103.155205,65.93823,138.27412,59.662785,54.00525
udp,S0,D,Benign,43637.5,32388.127,0.0049993875,1.1129125,39.117317,-0.0329249,-0.43531415,192.02802,168.07483,99.94406,102.942024,148.66978,181.12369,66.37406,152.25987
udp,S0,D,Benign,44203.344,33505.824,0.054819975,1.069448,44.095734,-0.072070524,-3.5055618,191.95389,167.88712,99.94779,102.99778,182.19374,169.96704,182.89589,170.23961
tcp,S0,S,Malicious,52785.652,240.32909,0.04456071,0.9056804,57.984272,-0.02983014,1.488172,191.94379,168.01111,99.987885,102.99964,80.088036,53.920883,85.80989,142.9498
tcp,S0,S,Benign,47328.316,3660.7168,0.011381075,0.9808471,61.81733,0.045641903,-9.151713,191.99297,167.97014,100.056274,102.98167,121.5891,53.920876,161.22746,201.0284
udp,S0,D,Benign,43375.934,15034.384,0.04609746,1.0579346,37.462837,0.08725732,1.8106184,192.04944,168.00522,100.10622,103.02879,119.73427,180.99818,88.27535,102.36281
tcp,S0,S,Malicious,49208.152,2778.4707,-0.02242422,2.955586,176.1168,0.066322334,0.47308925,192.00371,167.94827,100.10724,102.90872,136.85901,198.70506,90.315704,143.04591
udp,S0,D,Benign,43971.555,3306.253,-0.059393886,1.0506088,48.068573,-0.039962437,-1.1207418,192.02487,168.00931,100.07002,102.9888,173.77574,87.482056,90.89402,102.37515
udp,S0,D,Benign,43582.34,35995.824,0.0719292,0.99559146,39.543446,-0.016345914,0.83715826,191.92914,168.05643,99.91236,102.908646,105.16171,177.79317,187.73224,148.13898
tcp,S0,S,Malicious,52939.793,2029.5908,0.07793631,1.0135171,60.48657,0.19848716,-10.336631,192.11482,167.98685,100.067955,102.97413,58.89846,150.37401,174.45576,92.82994
tcp,S0,S,Malicious,48723.69,9219.208,0.029246533,2.6970077,176.11679,0.012686211,-10.526732,191.99554,168.13348,99.980255,103.07908,93.1374,176.08089,169.00232,182.82378
udp,S0,D,Benign,43570.316,28921.262,-0.050894722,1.0414301,30.89063,-0.2294185,-2.1585865,192.11964,167.86447,100.03589,102.96743,88.71877,145.91046,72.8438,71.32404
tcp,S0,S,Malicious,37494.375,8287.359,0.088228814,0.900931,59.18899,-0.092534155,-2.6758337,192.05084,168.01012,100.09261,102.95837,188.87251,202.26045,138.15944,196.7641
udp,S0,D,Benign,44472.215,31466.06,-0.031107387,0.9720076,36.693455,0.049181763,2.0702372,192.01688,167.88167,100.09883,102.95602,180.25514,98.909096,180.29048,185.48627
tcp,S0,S,Malicious,43362.26,2516.9004,-0.006043587,2.8882997,176.1168,-0.0027069268,9.227919,192.01363,168.00784,100.24216,102.804596,126.444984,67.99406,128.93974,165.05998
udp,S0,D,Benign,43980.4,13562.713,-0.058751415,1.0220183,40.569775,0.027324673,-2.2477112,191.9359,167.93248,100.02342,103.10012,169.84587,86.038956,195.50844,169.6727
tcp,S0,S,Malicious,47231.07,95.27635,-0.023528066,2.9176416,176.1168,0.017361287,-8.60502,192.0279,167.99051,100.066635,102.99179,153.55846,53.920914,148.82108,94.4943
tcp,S0,S,Malicious,43080.336,-838.2207,0.011242029,0.98134774,57.322994,-0.0045083878,1.4191875,192.00073,167.88766,99.96737,103.113556,140.87486,144.42268,112.62423,196.31111
udp,S0,D,Benign,43911.95,23812.756,0.054891013,1.1513153,40.047287,-0.11127822,2.961985,191.94011,167.87994,100.062355,102.95597,166.79404,186.03644,201.2612,134.48494
udp,S0,D,Benign,44072.336,29924.629,-0.046698906,1.0591074,39.15662,-0.12610425,2.9195685,191.94223,168.15578,100.002716,103.0532,81.84564,100.515396,168.64943,107.77321
udp,S0,D,Benign,43505.56,21831.428,-0.017920649,0.8991892,39.590748,0.016541023,-1.8109827,191.86206,167.94527,100.12555,103.10066,84.33953,164.5904,54.03184,172.11954
udp,S0,D,Benign,44212.21,17566.004,-0.025362192,0.9645364,43.7021,-0.092460334,-4.1596003,192.11884,167.96008,99.9606,102.966324,139.72655,144.09633,135.55206,135.6727
tcp,S0,S,Malicious,44449.0,8864.316,-0.033710588,2.8044915,176.1168,-0.05330525,-15.850749,191.99556,167.95583,100.20063,103.0223,125.47405,134.13173,128.46524,130.92638
tcp,S0,S,Malicious,41260.89,767.083,0.021348108,3.00086,176.1168,-0.110066876,-3.4380894,191.97357,167.9865,100.006485,102.995,75.53187,188.20071,167.5478,189.1705
tcp,S0,S,Malicious,47026.477,9497.625,-0.003520465,0.92476034,62.919453,0.027019072,3.5782657,191.9116,168.02809,100.10651,103.017876,173.31363,82.16511,156.18326,139.48431
udp,S0,D,Benign,43765.113,1011.874,-0.024564011,0.9147607,41.840904,-0.040239226,2.7862983,192.08939,168.11644,99.90624,103.13144,187.51772,94.84007,64.118484,74.35611
tcp,S0,S,Malicious,44020.973,9280.821,0.053152464,0.94348395,56.367496,-0.025458451,-9.131196,192.03348,167.97148,99.972595,102.94706,130.39734,118.57381,163.16885,120.023674
tcp,S0,S,Benign,37493.492,10254.823,0.00762367,0.93308365,59.084557,0.21671775,-3.3743763,191.95001,167.8261,100.1335,103.027275,188.87291,202.25504,54.0313,191.36102
udp,S0,D,Benign,43702.76,20283.197,0.005543315,1.1843069,40.123207,-0.040484842,2.7044,192.01784,168.03857,99.98621,102.89462,160.78734,135.32544,80.137764,135.28561
tcp,S0,S,Malicious,41821.43,9806.13,-0.01964047,3.1311908,176.1168,-0.1840757,-1.3521633,192.01628,167.97562,100.16547,102.93596,91.59421,112.63921,96.51336,170.31815
udp,S0,D,Benign,43841.785,6597.383,0.05551904,1.0418468,46.165417,-0.18929146,-2.8780937,191.9264,168.02707,100.034676,103.11817,55.457096,115.86864,112.70946,170.57686
tcp,S0,S,Malicious,51877.805,4685.927,-0.013698716,0.8402027,68.72641,-0.10133512,3.707261,192.02075,167.96397,99.960724,103.04284,138.78384,141.45824,75.368935,99.73286
tcp,S0,S,Malicious,38850.29,507.48044,0.0070255306,0.9960258,61.07178,0.04802512,-12.020686,191.96114,167.88528,100.00352,103.10515,128.11118,189.3453,148.21188,156.23035
udp,S0,D,Benign,43181.707,2813.7432,0.002386939,0.8600992,45.780075,0.03417634,0.8588467,192.00905,168.01958,100.063126,102.96811,119.59015,121.7186,57.93189,89.32315
udp,S0,D,Benign,43890.543,17865.137,0.008342059,0.8216716,32.156044,0.00601216,-3.311593,192.07977,168.03061,99.9842,103.08046,109.338264,136.04964,150.06525,138.55463
tcp,S0,S,Malicious,37937.47,4756.7725,0.00087926973,0.9339599,55.465984,0.03334937,-12.707795,191.9485,168.10175,99.97041,102.97674,143.80013,157.22807,119.09874,72.55996
tcp,S0,S,Malicious,39512.645,8722.048,0.0038712372,2.9794524,176.1168,0.23683456,4.954479,192.03128,167.76321,100.06377,102.986824,154.726,202.26085,120.25526,77.27557
tcp,S0,S,Malicious,37533.164,3522.4258,0.020112775,2.8814697,176.1168,0.009985211,8.9888525,192.00488,168.03247,100.083275,102.88412,76.35937,88.751656,114.9929,52.58397
udp,S0,D,Benign,43804.293,2353.7402,-0.023611378,1.0910965,34.000496,0.16437158,10.776774,191.94484,168.02527,99.95565,103.03613,59.297108,83.57146,85.39424,180.62088
udp,S0,D,Benign,43240.97,28948.418,0.00811963,1.0889894,36.013073,0.04268625,-0.02338596,192.00606,167.98743,100.08548,103.10425,149.55904,196.3332,155.59418,86.84159
udp,S0,D,Benign,43806.363,29559.564,-0.02693293,0.9319722,46.30413,0.011618706,-1.2334032,191.93135,168.08408,100.14341,102.9615,74.55868,156.41286,105.21843,55.63337
tcp,S0,S,Benign,46344.51,31009.438,0.024583038,1.0067947,61.32516,0.04532167,-1.194375,192.0728,168.08824,99.98067,103.01308,129.48376,202.25612,104.94894,94.10067
tcp,S0,S,Benign,47526.574,18584.682,0.003951147,1.1721156,63.88613,-0.12238978,-5.7191095,191.98479,168.03598,99.930626,103.12609,83.80847,79.72191,155.41365,135.70963
udp,S0,D,Benign,43179.72,21577.793,-0.015343806,1.0258867,39.22996,0.11292659,-2.2083836,191.95325,167.94905,99.98431,103.0148,89.31418,174.38103,93.48288,81.40199
tcp,S0,S,Benign,43269.23,32977.125,-0.057013553,0.95811677,56.125736,0.10438622,-7.7475805,192.04973,167.8409,100.019264,102.94472,78.55113,202.26085,200.99272,53.351677
tcp,S0,S,Malicious,44253.406,8847.825,-0.03351168,1.0374614,55.836777,-0.022724014,-2.5452414,192.03853,167.969,100.034294,102.9473,187.40756,53.92089,181.04947,194.16702
tcp,S0,S,Malicious,39663.1,5691.325,0.020270256,0.9930432,67.99552,-0.01305477,-4.9747934,192.00069,167.90744,99.94826,103.04151,82.87328,80.278755,174.18056,82.518936
udp,S0,D,Benign,43489.695,35972.777,-0.017575376,1.1530926,28.607088,-0.12467514,12.744098,192.03796,168.08412,100.080444,102.98561,68.25729,64.68156,201.24388,147.73763
tcp,S0,S,Malicious,45776.74,321.124,-0.050633546,0.9955529,56.147446,-0.026953202,-9.931237,191.96745,167.9038,99.98556,102.97177,151.19788,59.10144,126.93665,145.02379
tcp,S0,S,Benign,47087.99,21336.607,-0.022077505,1.0769918,65.87279,-0.10374147,4.470178,191.97212,167.95694,99.900505,103.080246,107.06546,87.350685,166.69176,80.137436
udp,S0,D,Benign,43640.605,30559.81,-0.013456611,0.94247067,43.614975,0.023045633,5.3208494,192.0575,167.97472,99.89072,102.99673,134.51675,160.97878,190.27303,165.83559
udp,S0,D,Benign,43532.727,23144.367,0.033227075,0.9677707,40.00346,-0.106272146,8.086934,192.03557,167.96165,99.9285,102.86882,114.32018,164.5426,184.82312,187.87442
udp,S0,D,Benign,43407.215,16841.977,0.026131837,1.0351611,41.925583,-0.02414329,-2.5947208,192.02933,168.02812,99.94979,102.96832,57.528545,119.65083,117.6767,126.45598
tcp,S0,S,Benign,48948.957,18373.33,0.02981982,1.054909,63.690918,-0.11702575,-4.121951,191.97203,168.13638,99.95727,103.07046,103.64617,173.99051,94.28708,173.07404
tcp,S0,S,Malicious,51072.18,-385.41995,0.013737436,0.8735401,65.917465,0.014796573,2.878106,191.93144,167.947,99.85772,103.07823,170.99356,93.415985,146.97508,121.3468
tcp,S0,S,Malicious,39922.83,8610.63,0.04129998,3.0491006,176.1168,0.037555207,7.979954,191.97794,168.02211,100.10253,102.94002,175.2526,72.742805,139.76656,61.685112
tcp,S0,S,Malicious,43880.65,2699.5576,0.008238819,1.006613,59.726994,-0.08342953,1.770102,192.01927,167.99722,100.06795,102.92492,135.30008,184.94472,165.40662,110.44363
udp,S0,D,Benign,44527.8,35799.2,-0.09354831,0.94363654,41.723804,-0.008986783,-1.9362488,192.0961,167.86835,100.01788,103.04846,100.683266,95.65085,139.61905,132.6042
tcp,S0,S,Benign,46720.63,21216.756,0.036778126,0.99200284,53.1513,-0.008697239,-11.777677,192.01733,168.02591,99.96955,102.99208,147.61134,182.39062,168.27002,86.41615
tcp,S0,S,Malicious,43123.3,-602.6211,-0.112952136,1.0848935,58.09955,-0.000535619,-3.77697,192.01271,168.04256,100.00724,103.0267,96.14142,157.49232,74.39859,149.0687
udp,S0,D,Benign,44015.047,31217.441,-0.061549835,0.923549,41.00333,-0.12775822,-4.783736,192.03584,167.91869,99.949066,103.05157,188.87273,185.76784,159.56575,201.02777
tcp,S0,S,Malicious,50443.562,-104.95705,0.035930075,1.0397204,53.938053,0.10325013,2.3809166,191.93678,167.99255,99.93456,102.88988,143.4867,202.22578,140.09048,160.00928
tcp,S0,S,Malicious,43603.94,9121.753,0.01730954,0.9419447,62.19241,-0.018306132,-5.2547245,191.99893,167.99239,100.05585,102.89806,142.67607,111.70536,155.28108,166.80782
udp,S0,D,Benign,43749.816,34119.594,0.06315838,1.0962179,41.93297,0.108985335,8.475474,191.95518,168.03708,100.075554,102.93507,139.05402,99.19246,78.84332,70.80985
tcp,S0,S,Benign,43199.535,22643.295,-0.048008587,1.0719694,56.083317,0.046540644,-6.0207787,192.02232,167.87509,99.98971,103.031364,113.92218,92.1135,181.50627,179.79736
udp,S0,D,Benign,43836.14,30655.193,-0.009971888,1.0477353,35.558685,0.051290337,-4.5959063,191.82605,168.07039,100.016045,103.10706,147.91673,159.38641,139.60123,201.02649
udp,S0,D,Benign,43744.773,24321.77,0.052729316,0.99882185,40.414192,0.11974988,1.0036373,191.99939,168.02995,100.14217,102.948044,57.503994,53.930786,173.80814,148.25351
tcp,S0,S,Malicious,49704.51,-294.5176,-0.00082530157,0.8877315,58.57099,-0.00089433463,-11.260964,191.99075,168.01303,99.969376,102.97898,153.51604,100.45822,59.970203,157.18289
udp,S0,D,Benign,43981.543,25561.156,0.009940455,0.9589024,38.397606,-0.014912126,-4.8629656,191.94852,168.01472,100.00581,102.92953,73.82979,102.12922,108.820076,159.37155
udp,S0,D,Benign,43885.457,35451.453,-0.061077144,1.0456381,38.66249,-0.0075840023,-8.713128,191.94783,167.96321,99.93141,103.01271,117.47927,70.92288,76.435486,173.92612
udp,S0,D,Benign,43929.402,-509.58597,0.018587224,0.9243858,46.659996,-0.16207449,-6.4652243,191.94264,167.96484,100.063805,103.0427,178.65994,67.22346,164.68039,74.15033
tcp,S0,S,Malicious,52941.793,1897.0537,0.04594471,1.0083102,60.181084,0.25831738,6.8800673,192.02768,167.97119,99.94298,103.044044,155.20694,108.29599,112.51861,141.21233
tcp,S0,S,Malicious,43324.33,9403.82,0.01374327,0.8801203,61.753525,0.07259784,-0.88729376,191.92305,168.17688,100.07858,103.02966,62.48817,83.492615,164.89514,82.99284
udp,S0,D,Benign,43399.785,15249.804,-0.0534483,0.9878548,39.702427,-0.028313812,6.095558,192.06921,168.05035,99.90635,103.00946,165.3962,165.82222,125.894966,150.49507
tcp,S0,S,Benign,48312.004,5283.586,-0.0059731784,0.99175185,56.591446,0.103992544,-6.2381477,192.09663,167.93732,100.06478,102.964966,164.62343,202.26076,191.33186,201.02843
tcp,S0,S,Malicious,40791.535,4417.747,0.04070436,3.008548,176.1168,-0.032227438,-0.31254956,192.05565,168.06407,100.2248,102.830894,147.0782,101.371124,147.33528,71.80885
udp,S0,D,Benign,45666.24,709.0742,0.062486593,1.0176083,37.418602,0.07051097,-5.1839857,192.00502,167.98315,100.07975,103.06054,65.03633,185.14143,141.89609,201.02818
tcp,S0,S,Malicious,48643.63,-1110.8691,0.0042776875,0.90298754,63.131306,-0.0020029512,-2.0946207,192.03111,167.94785,99.99818,103.13475,162.39287,148.0329,170.19337,109.35366
udp,S0,D,Benign,43806.03,35996.56,0.002226535,1.1007951,29.54267,-0.10887788,9.202191,192.02335,168.00575,99.96505,102.979065,109.25027,99.84344,127.237724,186.4124
tcp,S0,S,Malicious,37787.04,-115.587906,-0.025153624,0.9029673,61.190426,-0.20820747,-10.192538,191.9727,167.99547,100.041466,103.021545,74.01998,70.61851,84.24966,67.36597
udp,S0,D,Benign,44355.793,35993.445,-0.080130585,0.93214285,41.23932,-0.11901893,-6.86448,192.0993,167.86433,99.90956,102.851326,55.075863,179.20164,201.26161,182.63092
udp,S0,D,Benign,43930.496,21595.174,0.0011271569,1.0392609,44.209282,-0.1209317,0.22059922,191.99629,168.00545,99.97945,102.964325,105.95399,133.74475,134.70952,172.9707
udp,S0,D,Benign,43524.418,19043.385,0.057828248,0.91931635,37.585545,0.02479339,-8.257083,192.08151,168.00928,100.12728,102.9191,102.20136,59.469383,184.1078,72.913155
udp,S0,D,Benign,43644.555,24708.756,0.016059896,0.8079819,43.556213,-0.05614808,-0.71648973,191.97322,168.05754,99.99075,103.06514,101.33192,116.88795,135.08723,70.68953
udp,S0,D,Benign,43790.223,8856.77,-0.03260434,0.9924107,49.952774,0.091890514,-4.1548185,192.03004,167.96193,100.126526,102.86984,164.80106,78.48538,186.80563,63.348473
udp,S0,D,Benign,43649.56,2360.1777,0.007040227,0.98224294,39.659805,-0.0678782,-1.369524,191.96545,168.00946,100.00617,103.00645,157.92888,158.51164,168.7381,124.18983
tcp,S0,S,Malicious,52937.875,2856.3623,0.06231141,3.0312514,176.1168,-0.09443259,-7.3453474,191.97888,167.89792,100.082405,102.93874,76.11875,79.01145,89.958336,140.51721
tcp,S0,S,Malicious,43684.656,1514.332,-0.042405803,2.9230766,176.1168,0.1008821,4.738317,191.97699,167.89233,100.10154,102.889305,152.82529,191.32126,75.51679,170.58884
tcp,S0,S,Malicious,40351.098,977.55176,-0.014947055,0.9903483,71.72534,-0.014687327,-1.2195263,192.07219,168.07077,100.06109,103.080345,124.018524,91.897354,162.72815,158.12436
tcp,S0,S,Malicious,43269.93,7863.1094,-0.008932765,0.8924327,56.671093,-0.0018719253,-9.938222,192.0323,167.97565,100.052734,103.04952,151.82516,81.74002,124.35717,108.4398
tcp,S0,S,Benign,42502.484,23848.55,0.12055533,0.9434557,62.354797,0.06516591,-16.006521,192.06667,167.79735,100.02345,102.862015,188.87291,88.36491,164.35175,172.67717
tcp,S0,S,Malicious,42451.3,1027.3125,0.045045994,1.040461,58.993504,0.0651418,0.3423672,191.9709,167.98187,100.05363,103.069695,178.23064,60.555237,127.03676,142.90215
tcp,S0,S,Malicious,49978.848,-22.76564,-0.019179778,1.0083582,54.972233,-0.06967929,2.5884547,192.07242,167.99939,100.08426,102.92696,62.034668,159.7702,162.91574,110.15343
tcp,S0,S,Malicious,48993.82,1022.334,-0.017180268,0.9910387,59.504513,-0.056241762,-2.8346825,192.02597,167.95815,99.993095,102.94338,91.59226,97.716675,93.09824,87.3502
udp,S0,D,Benign,44089.484,18716.182,-0.06685538,0.91291565,47.17464,0.11248325,-12.0859,191.95041,167.92963,100.16222,102.94703,176.23799,85.18587,188.40608,66.00061
udp,S0,D,Benign,44113.363,13994.2,-0.0749296,0.8735461,42.73307,0.0034426185,7.5678687,191.99695,167.94151,100.01115,103.09262,111.911644,54.693512,121.39255,141.59068
tcp,S0,S,Malicious,51388.953,-385.31253,0.0025151654,1.0470736,62.97524,0.013194445,2.061399,191.97891,168.13795,99.916985,103.03326,177.0551,145.40009,147.02374,182.18845
tcp,S0,S,Malicious,52753.863,8087.8438,0.045898266,2.919481,176.1168,0.03297938,-12.722869,192.14398,167.98798,100.09328,102.94594,84.98375,57.32557,201.25099,52.48031
tcp,S0,S,Malicious,41990.824,10285.511,0.028729148,1.0923549,60.38437,0.08525259,-4.4965343,192.04823,167.91348,100.04996,103.09898,188.81964,202.26083,169.3624,83.19076
udp,S0,D,Benign,43755.426,19707.416,0.077470995,0.988485,46.70021,-0.07352586,2.930112,192.05202,167.94553,100.063324,103.034836,134.57582,107.09898,78.90164,142.26503
udp,S0,D,Benign,43523.316,2627.1572,-0.011714462,1.1008489,39.02429,0.18704556,12.918599,192.00351,168.07587,100.09345,103.04114,91.907715,74.00303,154.50102,103.91219
udp,S0,D,Benign,43349.098,14589.747,0.035385612,1.0359573,39.554314,-0.10897188,-6.580559,192.12909,168.0416,99.91903,103.01704,110.51435,132.50682,98.90312,147.92897
tcp,S0,S,Malicious,43632.203,-77.71486,0.030608295,0.94315654,63.65292,-0.012140122,3.3848038,192.0386,168.05148,100.00833,102.95633,94.709435,168.74075,146.03758,107.987656
tcp,S0,S,Malicious,43587.047,6682.867,0.006618295,1.0677234,61.813236,0.117026895,0.33928397,192.00854,168.03961,99.965614,103.081276,81.88614,93.06906,82.01693,197.7634
udp,S0,D,Benign,43792.89,33726.523,0.03330183,1.0653032,38.77299,-0.12217982,0.57577616,191.9713,167.85999,99.97601,103.04838,70.68527,191.24283,77.07754,81.09945
udp,S0,D,Benign,44237.35,5903.37,-0.032376472,1.0705898,41.00612,-0.08125991,-3.5225983,192.05162,167.93863,99.9601,102.98312,100.75732,187.64478,119.58564,173.51683
tcp,S0,S,Malicious,44115.33,1961.2471,0.0015397507,1.0216717,61.18572,0.114060454,0.5501662,192.02989,167.9645,99.97132,102.93356,171.4358,170.0288,61.327007,93.78479
tcp,S0,S,Malicious,45698.69,369.35837,-0.047589947,1.0744122,54.067932,-0.016655114,-10.156072,191.99483,168.06844,100.054596,102.92881,129.99536,175.47072,98.58289,64.71947
udp,S0,D,Benign,43453.81,34294.285,0.0038412118,0.92230624,35.994076,-0.07299791,3.4460526,191.93571,168.03438,100.1087,102.98592,105.052734,169.09053,162.34192,136.15369
